Projections	Frames	Exposure(ms)
360	1	354.000
Projection	Angle(deg)	Time(s)
1	0.0000	0.000000
2	1.0146	0.355000
3	2.0005	0.710000
4	2.9854	1.065000
5	4.0005	1.419000
6	5.0137	1.774000
7	6.0000	2.129000
8	7.0137	2.484000
9	7.9995	2.839000
10	9.0137	3.194000
11	9.9995	3.549000
12	11.0132	3.903000
13	11.9995	4.258000
14	13.0132	4.613000
15	13.9995	4.968000
16	15.0137	5.323000
17	15.9985	5.678000
18	17.0132	6.033000
19	17.9990	6.387000
20	19.0122	6.742000
21	19.9995	7.097000
22	21.0122	7.452000
23	21.9985	7.807000
24	23.0122	8.161000
25	23.9985	8.516000
26	25.0122	8.871000
27	25.9985	9.226000
28	27.0122	9.581000
29	27.9985	9.936000
30	29.0117	10.291000
31	29.9985	10.645000
32	31.0117	11.000000
33	31.9976	11.355000
34	33.0117	11.710000
35	33.9980	12.065000
36	35.0112	12.420000
37	35.9980	12.775000
38	37.0112	13.129000
39	37.9976	13.484000
40	39.0112	13.839000
41	39.9971	14.194000
42	41.0112	14.549000
43	41.9971	14.904000
44	43.0107	15.258000
45	43.9976	15.613000
46	45.0103	15.968000
47	45.9971	16.323000
48	47.0107	16.678000
49	47.9966	17.033000
50	49.0103	17.387000
51	49.9966	17.742000
52	51.0103	18.097000
53	51.9966	18.452000
54	53.0098	18.807000
55	53.9966	19.162000
56	55.0103	19.517000
57	55.9961	19.871000
58	57.0098	20.226000
59	57.9966	20.581000
60	59.0093	20.936000
61	59.9966	21.291000
62	61.0093	21.646000
63	61.9961	22.000000
64	63.0093	22.356000
65	63.9956	22.710000
66	65.0093	23.065000
67	65.9956	23.420000
68	67.0093	23.775000
69	67.9956	24.130000
70	69.0088	24.484000
71	69.9951	24.839000
72	71.0093	25.194000
73	71.9951	25.549000
74	73.0083	25.904000
75	73.9951	26.259000
76	75.0083	26.614000
77	75.9951	26.969000
78	77.0083	27.323000
79	77.9946	27.678000
80	79.0083	28.033000
81	79.9946	28.388000
82	81.0083	28.743000
83	81.9946	29.097000
84	83.0083	29.452000
85	83.9946	29.807000
86	85.0078	30.162000
87	85.9941	30.517000
88	87.0078	30.872000
89	87.9937	31.227000
90	89.0078	31.581000
91	89.9937	31.936000
92	91.0073	32.291000
93	91.9941	32.646000
94	93.0073	33.001000
95	93.9937	33.356000
96	95.0073	33.710000
97	95.9937	34.065000
98	97.0073	34.420000
99	97.9937	34.775000
100	99.0073	35.130000
101	99.9937	35.485000
102	101.0063	35.840000
103	101.9932	36.194000
104	103.0068	36.550000
105	103.9927	36.904000
106	105.0063	37.259000
107	105.9932	37.614000
108	107.0063	37.969000
109	107.9927	38.323000
110	109.0063	38.679000
111	109.9927	39.033000
112	111.0063	39.388000
113	111.9922	39.743000
114	113.0063	40.098000
115	113.9927	40.453000
116	115.0059	40.808000
117	115.9927	41.162000
118	117.0054	41.517000
119	117.9912	41.872000
120	119.0059	42.227000
121	119.9912	42.582000
122	121.0054	42.936000
123	121.9912	43.291000
124	123.0054	43.646000
125	123.9912	44.001000
126	125.0049	44.356000
127	125.9912	44.711000
128	127.0054	45.065000
129	127.9902	45.420000
130	129.0054	45.775000
131	129.9912	46.130000
132	131.0044	46.485000
133	131.9902	46.840000
134	133.0044	47.195000
135	133.9902	47.549000
136	135.0044	47.904000
137	136.0186	48.259000
138	137.0044	48.614000
139	137.9902	48.969000
140	139.0044	49.324000
141	140.0186	49.679000
142	141.0039	50.033000
143	142.0181	50.388000
144	143.0044	50.743000
145	144.0176	51.098000
146	145.0039	51.453000
147	146.0176	51.808000
148	147.0034	52.162000
149	148.0176	52.517000
150	149.0034	52.872000
151	150.0176	53.227000
152	151.0034	53.582000
153	152.0171	53.937000
154	153.0034	54.292000
155	154.0176	54.646000
156	155.0029	55.002000
157	156.0176	55.356000
158	157.0029	55.711000
159	158.0171	56.066000
160	159.0029	56.421000
161	160.0166	56.776000
162	161.0034	57.130000
163	162.0166	57.485000
164	163.0024	57.840000
165	164.0166	58.195000
166	165.0024	58.550000
167	166.0161	58.905000
168	167.0024	59.259000
169	168.0161	59.614000
170	169.0024	59.969000
171	170.0161	60.324000
172	171.0020	60.679000
173	172.0166	61.034000
174	173.0015	61.388000
175	174.0156	61.743000
176	175.0024	62.098000
177	176.0156	62.453000
178	177.0015	62.808000
179	178.0156	63.163000
180	179.0015	63.518000
181	180.0156	63.872000
182	181.0020	64.227000
183	182.0156	64.582000
184	183.0015	64.937000
185	184.0146	65.292000
186	185.0015	65.647000
